title,price,product_description,product_overview,manufacturer,manufacturer_website,rating,total_rating,in_stock,img_url,data_scraped
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules",7.86,"
                100% authentic
                
,
            ,
                Best by: 06/2027
                
,
            ,
                First available: ,
            ,
            Shipping weight: 
            ,
            
,
        ,Product code: ,UPC: ,Package quantity: ,
                Dimensions:
                    ,
, 
                    ,
            ,
                    ,
                ","
                    ,
                        ,
                            ,
                                    ,
                                        ,

                                            ,
                                                ,Description,
                                            ,
                                            ,Helps Support Immune Health and Overall Wellness* ,Suitable for Vegetarians,Formulated without Gluten, GMOs, or Soy,California Gold Nutrition® ,Gold C™ ,features 1000 mg of USP-Grade Vitamin C in veggie capsules. It is triple quality tested to ensure that it meets or exceeds strict quality standards.,​,iTested Verified,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Suggested use,
                                            ,
                                            ,
                                                ,Take 1 capsule daily, with or without food. Best when taken as directed by a qualified healthcare professional.,
                                            ,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Other ingredients,
                                            ,
                                            ,Main Ingredients,Vitamin C (as Ascorbic Acid) ,Other Ingredients,Modified Cellulose (Hypromellose Veggie Capsule) and Magnesium Stearate.,Not manufactured with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soy, sesame, or gluten. Produced in an FDA-registered, third-party audited, and cGMP-compliant facility that may process other products that contain these allergens or ingredients.,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Warnings,
                                            ,
                                            ,Keep out of the reach of children. ,Consult with a licensed physician, pharmacist, naturopath or other qualified healthcare professional prior to taking dietary supplements. ,Sealed for your protection. Do not use if seal is missing or broken. Store in a cool, dry place. Protect from heat, light, and moisture.,Aroma, color, and consistency may vary. Color shift is normal and cannot be avoided.,
                                        ,
                                    ,


                                ,
                                    ,
                                        ,
                                            ,Disclaimer,
                                        ,
                                        ,
                                            ,While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.,
                                        ,
                                    ,
                                ,

                                ,
                                    ,
,
,Visit manufacturer's website,
,
,
,
,
,

                                ,

                            ,
                                ,
                                    ,
                                        ,Supplement facts,Serving Size:, 1 Capsule,Servings Per Container:, 60,Amount Per Serving,%Daily Value,Vitamin C (as Ascorbic Acid),1,000 mg,1,111%,
                                    ,
                                ,
                        ,
                        ,
                            ,
,
,Visit manufacturer's website,
,
,
,
,
,

                        ,
                    ,
                ",California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,4.8,332171,True,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/v/190.jpg",01 January 2025
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules",7.86,"
                100% authentic
                
,
            ,
                Best by: 06/2027
                
,
            ,
                First available: ,
            ,
            Shipping weight: 
            ,
            
,
        ,Product code: ,UPC: ,Package quantity: ,
                Dimensions:
                    ,
, 
                    ,
            ,
                    ,
                ","
                    ,
                        ,
                            ,
                                    ,
                                        ,

                                            ,
                                                ,Description,
                                            ,
                                            ,Helps Support Immune Health and Overall Wellness* ,Suitable for Vegetarians,Formulated without Gluten, GMOs, or Soy,California Gold Nutrition® ,Gold C™ ,features 1000 mg of USP-Grade Vitamin C in veggie capsules. It is triple quality tested to ensure that it meets or exceeds strict quality standards.,​,iTested Verified,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Suggested use,
                                            ,
                                            ,
                                                ,Take 1 capsule daily, with or without food. Best when taken as directed by a qualified healthcare professional.,
                                            ,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Other ingredients,
                                            ,
                                            ,Main Ingredients,Vitamin C (as Ascorbic Acid) ,Other Ingredients,Modified Cellulose (Hypromellose Veggie Capsule) and Magnesium Stearate.,Not manufactured with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soy, sesame, or gluten. Produced in an FDA-registered, third-party audited, and cGMP-compliant facility that may process other products that contain these allergens or ingredients.,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Warnings,
                                            ,
                                            ,Keep out of the reach of children. ,Consult with a licensed physician, pharmacist, naturopath or other qualified healthcare professional prior to taking dietary supplements. ,Sealed for your protection. Do not use if seal is missing or broken. Store in a cool, dry place. Protect from heat, light, and moisture.,Aroma, color, and consistency may vary. Color shift is normal and cannot be avoided.,
                                        ,
                                    ,


                                ,
                                    ,
                                        ,
                                            ,Disclaimer,
                                        ,
                                        ,
                                            ,While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.,
                                        ,
                                    ,
                                ,

                                ,
                                    ,
,
,Visit manufacturer's website,
,
,
,
,
,

                                ,

                            ,
                                ,
                                    ,
                                        ,Supplement facts,Serving Size:, 1 Capsule,Servings Per Container:, 60,Amount Per Serving,%Daily Value,Vitamin C (as Ascorbic Acid),1,000 mg,1,111%,
                                    ,
                                ,
                        ,
                        ,
                            ,
,
,Visit manufacturer's website,
,
,
,
,
,

                        ,
                    ,
                ",California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,4.8,332171,True,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/v/190.jpg",01 January 2025
"California Gold Nutrition, Gold C, USP Grade Vitamin C, 1,000 mg, 60 Veggie Capsules",7.86,"
                100% authentic
                
,
            ,
                Best by: 06/2027
                
,
            ,
                First available: ,
            ,
            Shipping weight: 
            ,
            
,
        ,Product code: ,UPC: ,Package quantity: ,
                Dimensions:
                    ,
, 
                    ,
            ,
                    ,
                ","
                    ,
                        ,
                            ,
                                    ,
                                        ,

                                            ,
                                                ,Description,
                                            ,
                                            ,Helps Support Immune Health and Overall Wellness* ,Suitable for Vegetarians,Formulated without Gluten, GMOs, or Soy,California Gold Nutrition® ,Gold C™ ,features 1000 mg of USP-Grade Vitamin C in veggie capsules. It is triple quality tested to ensure that it meets or exceeds strict quality standards.,​,iTested Verified,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Suggested use,
                                            ,
                                            ,
                                                ,Take 1 capsule daily, with or without food. Best when taken as directed by a qualified healthcare professional.,
                                            ,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Other ingredients,
                                            ,
                                            ,Main Ingredients,Vitamin C (as Ascorbic Acid) ,Other Ingredients,Modified Cellulose (Hypromellose Veggie Capsule) and Magnesium Stearate.,Not manufactured with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soy, sesame, or gluten. Produced in an FDA-registered, third-party audited, and cGMP-compliant facility that may process other products that contain these allergens or ingredients.,
                                        ,
                                    ,
                                    ,
                                        ,
                                            ,
                                                ,Warnings,
                                            ,
                                            ,Keep out of the reach of children. ,Consult with a licensed physician, pharmacist, naturopath or other qualified healthcare professional prior to taking dietary supplements. ,Sealed for your protection. Do not use if seal is missing or broken. Store in a cool, dry place. Protect from heat, light, and moisture.,Aroma, color, and consistency may vary. Color shift is normal and cannot be avoided.,
                                        ,
                                    ,


                                ,
                                    ,
                                        ,
                                            ,Disclaimer,
                                        ,
                                        ,
                                            ,While iHerb strives to ensure the accuracy of its product images and information, some manufacturing changes to packaging and/or ingredients may be pending update on our site. Although items may occasionally ship with alternate packaging, freshness is always guaranteed. We recommend that you read labels, warnings and directions of all products before use and not rely solely on the information provided by iHerb.,
                                        ,
                                    ,
                                ,

                                ,
                                    ,
,
,Visit manufacturer's website,
,
,
,
,
,

                                ,

                            ,
                                ,
                                    ,
                                        ,Supplement facts,Serving Size:, 1 Capsule,Servings Per Container:, 60,Amount Per Serving,%Daily Value,Vitamin C (as Ascorbic Acid),1,000 mg,1,111%,
                                    ,
                                ,
                        ,
                        ,
                            ,
,
,Visit manufacturer's website,
,
,
,
,
,

                        ,
                    ,
                ",California Gold Nutrition,https://www.iherb.com/c/california-gold-nutrition,4.8,332171,True,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn00931/v/190.jpg",01 January 2025
